accession,body_site,table_id,version,n_samples,n_taxa,status,ts
MGYS00006369,respiratory,SRP057611_taxonomy_abundances_SSU_v5.0.tsv,5.0,38,640,ok,2026-08-22T22:15:43
MGYS00002060,stool,ERP104233_taxonomy_abundances_SSU_v4.1.tsv,4.1,37,161,ok,2026-08-22T22:15:44
MGYS00002352,oral,DRP002430_taxonomy_abundances_SSU_v4.1.tsv,4.1,37,323,ok,2026-08-22T22:15:45
MGYS00006324,respiratory,SRP041296_taxonomy_abundances_SSU_v5.0.tsv,5.0,37,179,ok,2026-08-22T22:15:46
MGYS00002165,oral,SRP078943_taxonomy_abundances_SSU_v4.1.tsv,4.1,37,319,ok,2026-08-22T22:15:47
MGYS00006353,stool,SRP287511_taxonomy_abundances_SSU_v5.0.tsv,5.0,37,1453,ok,2026-08-22T22:16:43
MGYS00006020,respiratory,SRP341631_taxonomy_abundances_SSU_v5.0.tsv,5.0,37,554,ok,2026-08-22T22:16:44
MGYS00006516,respiratory,SRP199424_taxonomy_abundances_SSU_v5.0.tsv,5.0,36,1659,ok,2026-08-22T22:16:45
MGYS00006277,respiratory,ERP133037_taxonomy_abundances_SSU_v5.0.tsv,5.0,36,347,ok,2026-08-22T22:16:46
MGYS00005697,oral,ERP126158_taxonomy_abundances_SSU_v5.0.tsv,5.0,36,119,ok,2026-08-22T22:16:47
MGYS00002677,stool,ERP106631_taxonomy_abundances_SSU_v4.1.tsv,4.1,36,82,ok,2026-08-22T22:17:43
MGYS00005698,oral,,,0,0,no_ssu_table,2026-08-22T22:17:44
MGYS00006443,respiratory,SRP312067_taxonomy_abundances_SSU_v5.0.tsv,5.0,29,1031,ok,2026-08-22T22:17:44
MGYS00003147,stool,ERP024316_taxonomy_abundances_SSU_v4.1.tsv,4.1,35,1778,ok,2026-08-22T22:17:45
MGYS00005805,stool,ERP127951_taxonomy_abundances_SSU_v5.0.tsv,5.0,35,176,ok,2026-08-22T22:17:46
MGYS00006410,respiratory,SRP067201_taxonomy_abundances_SSU_v5.0.tsv,5.0,34,348,ok,2026-08-22T22:17:47
MGYS00006372,respiratory,SRP310970_taxonomy_abundances_SSU_v5.0.tsv,5.0,34,423,ok,2026-08-22T22:18:42
MGYS00005806,stool,,,0,0,no_ssu_table,2026-08-22T22:18:44
MGYS00005034,skin,ERP112251_taxonomy_abundances_SSU_v5.0.tsv,5.0,33,77,ok,2026-08-22T22:18:45
MGYS00005443,oral,ERP113996_taxonomy_abundances_SSU_v4.1.tsv,4.1,31,62,ok,2026-08-22T22:18:46
MGYS00005684,stool,ERP125620_taxonomy_abundances_SSU_v5.0.tsv,5.0,33,208,ok,2026-08-22T22:18:47
MGYS00006466,respiratory,SRP083112_taxonomy_abundances_SSU_v5.0.tsv,5.0,94,269,ok,2026-08-22T22:19:43
MGYS00005444,oral,,,0,0,no_ssu_table,2026-08-22T22:19:44
MGYS00000308,stool,ERP001739_taxonomy_abundances_v1.0.tsv,1.0,38,115,ok,2026-08-22T22:19:44
MGYS00001303,oral,ERP014351_taxonomy_abundances_v3.0.tsv,3.0,31,156,ok,2026-08-22T22:19:44
MGYS00005685,stool,,,0,0,no_ssu_table,2026-08-22T22:19:46
MGYS00001143,oral,ERP016024_taxonomy_abundances_v3.0.tsv,3.0,31,953,ok,2026-08-22T22:19:46
MGYS00006473,respiratory,SRP114665_taxonomy_abundances_SSU_v5.0.tsv,5.0,31,1204,ok,2026-08-22T22:20:43
MGYS00001258,stool,SRP067039_taxonomy_abundances_v3.0.tsv,3.0,22,153,ok,2026-08-22T22:20:44
MGYS00000526,stool,ERP011526_taxonomy_abundances_SSU_v5.0.tsv,5.0,30,259,ok,2026-08-22T22:20:44
MGYS00006618,oral,ERP141522_taxonomy_abundances_SSU_v5.0.tsv,5.0,30,106,ok,2026-08-22T22:20:46
MGYS00003487,oral,ERP108880_taxonomy_abundances_SSU_v4.1.tsv,4.1,30,146,ok,2026-08-22T22:20:46
MGYS00006354,stool,SRP287767_taxonomy_abundances_SSU_v5.0.tsv,5.0,15,498,ok,2026-08-22T22:21:43
MGYS00006390,respiratory,SRP340835_taxonomy_abundances_SSU_v5.0.tsv,5.0,30,1004,ok,2026-08-22T22:21:44
MGYS00006357,respiratory,SRP297410_taxonomy_abundances_SSU_v5.0.tsv,5.0,30,651,ok,2026-08-22T22:21:45
MGYS00002212,oral,SRP000913_taxonomy_abundances_SSU_v4.1.tsv,4.1,29,468,ok,2026-08-22T22:21:46
MGYS00003484,stool,ERP111756_taxonomy_abundances_SSU_v4.1.tsv,4.1,25,1516,ok,2026-08-22T22:21:47
MGYS00006256,respiratory,ERP002060_taxonomy_abundances_SSU_v5.0.tsv,5.0,29,249,ok,2026-08-22T22:22:43
MGYS00006521,respiratory,SRP211744_taxonomy_abundances_SSU_v5.0.tsv,5.0,28,376,ok,2026-08-22T22:22:44
MGYS00001174,oral,SRP033553_taxonomy_abundances_SSU_v4.1.tsv,4.1,28,735,ok,2026-08-22T22:22:45
MGYS00006765,stool,ERP160150_taxonomy_abundances_SSU_v5.0.tsv,5.0,28,119,ok,2026-08-22T22:22:46
MGYS00003597,oral,ERP108069_taxonomy_abundances_SSU_v4.1.tsv,4.1,28,144,ok,2026-08-22T22:22:47
MGYS00001537,stool,ERP021378_taxonomy_abundances_v3.0.tsv,3.0,28,501,ok,2026-08-22T22:23:43
MGYS00001987,stool,ERP104069_taxonomy_abundances_SSU_v4.1.tsv,4.1,2,2,ok,2026-08-22T22:23:44
MGYS00003609,oral,ERP108066_taxonomy_abundances_SSU_v4.1.tsv,4.1,27,125,ok,2026-08-22T22:23:45
MGYS00006480,respiratory,SRP107187_taxonomy_abundances_SSU_v5.0.tsv,5.0,27,362,ok,2026-08-22T22:23:46
MGYS00005076,stool,ERP106351_taxonomy_abundances_SSU_v4.1.tsv,4.1,27,558,ok,2026-08-22T22:23:47
