sample_id,study_accession,body_site,modality,source,pipeline
MGYS00000502:ERR866631,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866632,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866633,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866634,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866635,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866636,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866637,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866638,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866639,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866640,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866641,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866642,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866643,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866644,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866645,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866646,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866647,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866648,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866649,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866650,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866651,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866652,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866653,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866654,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866655,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866656,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866657,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866658,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866659,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866660,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866661,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866662,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866663,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866664,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866665,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866666,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866667,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866668,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866669,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866670,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866671,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866672,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866673,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
